date,feature_index,NO2
2020-05-24T00:00:00.000Z,0,3.273359613123593E-5
2020-05-22T00:00:00.000Z,0,2.614132832652678E-5
2020-05-18T00:00:00.000Z,0,
2020-05-23T00:00:00.000Z,0,2.7135701106760135E-5
2020-05-25T00:00:00.000Z,0,1.6110701178856994E-5
2020-05-21T00:00:00.000Z,0,2.3975879230420105E-5
2020-05-20T00:00:00.000Z,0,2.780264458124293E-5
2020-09-27T00:00:00.000Z,0,2.0779556687481698E-5
2020-09-30T00:00:00.000Z,0,
2020-09-23T00:00:00.000Z,0,1.880156553481895E-5
2020-09-24T00:00:00.000Z,0,2.2454525566680534E-5
2020-09-25T00:00:00.000Z,0,2.064421338989474E-5
2020-09-26T00:00:00.000Z,0,1.96912549957536E-5
2020-09-28T00:00:00.000Z,0,2.108549079417167E-5
2020-09-29T00:00:00.000Z,0,2.5283651178108778E-5
2020-11-15T00:00:00.000Z,0,
2020-11-16T00:00:00.000Z,0,1.5158155891015213E-5
2020-11-14T00:00:00.000Z,0,1.7821246889498606E-5
2020-11-12T00:00:00.000Z,0,1.0252973975884042E-5
2020-11-11T00:00:00.000Z,0,2.9855268167011673E-5
2020-11-13T00:00:00.000Z,0,1.841328336619578E-5
2020-11-10T00:00:00.000Z,0,2.338380215048476E-5
2020-11-17T00:00:00.000Z,0,2.4086860594252358E-5
2020-10-12T00:00:00.000Z,0,1.7724786000774027E-5
2020-10-11T00:00:00.000Z,0,1.12730987823922E-5
2020-10-10T00:00:00.000Z,0,
2020-10-13T00:00:00.000Z,0,1.4017064490445819E-5
2020-10-09T00:00:00.000Z,0,
2020-10-15T00:00:00.000Z,0,3.1740865462018326E-5
2020-10-14T00:00:00.000Z,0,3.429909456490013E-5
2020-10-16T00:00:00.000Z,0,1.560789975955808E-5
2020-11-04T00:00:00.000Z,0,
2020-11-08T00:00:00.000Z,0,1.4942388954101002E-5
2020-11-02T00:00:00.000Z,0,1.5606203760398785E-5
2020-11-06T00:00:00.000Z,0,1.3774167655355996E-5
2020-11-03T00:00:00.000Z,0,
2020-11-07T00:00:00.000Z,0,2.2565122807986397E-5
2020-11-09T00:00:00.000Z,0,2.3654246456781223E-5
2020-11-05T00:00:00.000Z,0,
2020-12-07T00:00:00.000Z,0,
2020-12-06T00:00:00.000Z,0,
2020-12-11T00:00:00.000Z,0,
2020-12-10T00:00:00.000Z,0,
2020-12-04T00:00:00.000Z,0,
2020-12-08T00:00:00.000Z,0,
2020-12-09T00:00:00.000Z,0,
2020-12-05T00:00:00.000Z,0,2.177696306103905E-5
2020-12-20T00:00:00.000Z,0,1.8686377567670814E-5
2020-12-26T00:00:00.000Z,0,2.0597641715929577E-5
2020-12-24T00:00:00.000Z,0,2.1227920353794615E-5
2020-12-22T00:00:00.000Z,0,2.139188362841531E-5
2020-12-25T00:00:00.000Z,0,2.0386505074956977E-5
2020-12-23T00:00:00.000Z,0,1.9666731447984973E-5
2020-12-27T00:00:00.000Z,0,2.325189118317595E-5
2020-12-21T00:00:00.000Z,0,2.0009821620684914E-5
2021-01-13T00:00:00.000Z,0,
2021-01-15T00:00:00.000Z,0,
2021-01-18T00:00:00.000Z,0,
2021-01-14T00:00:00.000Z,0,
2021-01-17T00:00:00.000Z,0,2.4724356990191154E-5
2021-01-20T00:00:00.000Z,0,
2021-01-16T00:00:00.000Z,0,
2021-01-19T00:00:00.000Z,0,
